Symbol	Name	LastSale	MarketCap	IPOyear	Sector	industry	Summary Quote
BONT	"The Bon-Ton Stores, Inc."	1.33	$28.71M	1991	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/bont
CG	The Carlyle Group L.P.	16.95	$5.54B	2012	Finance	Investment Managers	http://www.nasdaq.com/symbol/cg
CAKE	The Cheesecake Factory Incorporated	60.42	$2.87B	1992	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/cake
CHEF	"The Chefs&#39; Warehouse, Inc."	15.45	$405.63M	2011	Consumer Non-Durables	Food Distributors	http://www.nasdaq.com/symbol/chef
TCFC	The Community Financial Corporation	30	$139.73M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tcfc
DSGX	The Descartes Systems Group Inc.	21.7	$1.65B	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/dsgx
DXYN	"The Dixie Group, Inc."	3.675	$59.24M	n/a	Consumer Durables	Home Furnishings	http://www.nasdaq.com/symbol/dxyn
ENSG	"The Ensign Group, Inc."	20.79	$1.05B	2007	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/ensg
XONE	The ExOne Company	10.55	$169.97M	2013	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/xone
FINL	"The Finish Line, Inc."	17.34	$703.31M	1992	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/finl
FBMS	"The First Bancshares, Inc."	27.652	$150.1M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/fbms
FLIC	The First of Long Island Corporation	27.55	$652.54M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/flic
GT	The Goodyear Tire & Rubber Company	30.74	$8.02B	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/gt
HABT	"The Habit Restaurants, Inc."	15.525	$403.65M	2014	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/habt
HCKT	"The Hackett Group, Inc."	17.2	$491.12M	n/a	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/hckt
HAIN	"The Hain Celestial Group, Inc."	39.9	$4.13B	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/hain
FITS	The Health and Fitness ETF	25.4043	$2.54M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/fits
CUBA	"The Herzfeld Caribbean Basin Fund, Inc."	6.51	$39.93M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cuba
INTG	The Intergroup Corporation	29.2108	$69.57M	n/a	Consumer Services	Building operators	http://www.nasdaq.com/symbol/intg
JYNT	The Joint Corp.	3.11	$39.56M	2014	Miscellaneous	Multi-Sector Companies	http://www.nasdaq.com/symbol/jynt
KEYW	The KEYW Holding Corporation	11.67	$478.05M	2010	Technology	EDP Services	http://www.nasdaq.com/symbol/keyw
KHC	The Kraft Heinz Company	87.03	$105.94B	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/khc
OLD	The Long-Term Care ETF	23.7728	$2.38M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/old
MDCO	The Medicines Company	38.12	$2.7B	2000	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/mdco
MIK	"The Michaels Companies, Inc."	20.52	$4.2B	2014	Consumer Services	Recreational Products/Toys	http://www.nasdaq.com/symbol/mik
MIDD	The Middleby Corporation	134.95	$7.76B	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/midd
NAVG	"The Navigators Group, Inc."	113.75	$1.66B	1986	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/navg
SLIM	The Obesity ETF	22.72	$2.27M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/slim
STKS	"The ONE Group Hospitality, Inc."	1.7	$42.59M	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/stks
ORG	The Organics ETF	24.7932	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/org
PCLN	The Priceline Group Inc. 	1545.82	$76.28B	1999	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/pcln
PRSC	The Providence Service Corporation	39.02	$552.72M	2003	Consumer Services	Transportation Services	http://www.nasdaq.com/symbol/prsc
RMR	The RMR Group Inc.	39.45	$1.23B	n/a	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/rmr
SPNC	The Spectranetics Corporation	25.5	$1.1B	1992	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	http://www.nasdaq.com/symbol/spnc
TTD	"The Trade Desk, Inc."	29.35	$1.13B	2016	Technology	"Computer Software: Programming, Data Processing"	http://www.nasdaq.com/symbol/ttd
ULTI	"The Ultimate Software Group, Inc."	201.14	$5.83B	1998	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ulti
YORW	The York Water Company	36.15	$464.21M	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/yorw
NCTY	The9 Limited	1.14	$27.26M	2004	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/ncty
TRPX	Therapix Biosciences Ltd.	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/trpx
TBPH	"Theravance Biopharma, Inc."	32.98	$1.71B	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tbph
TST	"TheStreet, Inc."	0.85	$29.97M	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/tst
